trade_date,instrument,name,industry,score,score_rank_pct,label_value,amount_log,rps_60d,ret_60d,ret_120d,price_percentile_252d,pe_rank_252d,pb_rank_252d,trend_smoothness_60d,industry_ret_20d,industry_ret_60d,industry_ret_120d,industry_breadth_20d,industry_breadth_60d,industry_volume_expansion,stock_minus_industry_ret_20d,stock_minus_industry_ret_60d,industry_top_stock_momentum,type
2021-05-25,600032.SH,浙江新能,新型电力,3.0538,0.9900,1.7188,16.7045,,,,,,,,0.0017,0.0030,0.0038,0.4711,0.4959,0.6557,,,0.1413,missed
2020-12-30,600039.SH,四川路桥,建筑工程,-0.2761,0.2787,1.0084,17.9001,0.5307,0.0351,0.0676,0.7470,0.8845,0.5737,0.0492,-0.0048,-0.0003,-0.0005,0.3036,0.4132,1.2069,-0.0125,0.0601,0.0190,high_score
2021-01-22,600039.SH,四川路桥,建筑工程,-0.2925,0.2083,1.4438,18.3567,0.5533,0.0637,0.0440,0.7869,0.8705,0.6355,0.0724,0.0015,0.0001,-0.0003,0.4214,0.4180,0.9992,-0.0139,0.0656,0.0202,high_score
2021-02-18,600039.SH,四川路桥,建筑工程,-0.2915,0.2769,1.3312,18.7037,0.4176,-0.0406,0.1376,0.9323,0.9880,0.9402,-0.0452,-0.0024,-0.0005,-0.0007,0.3893,0.4107,1.5753,0.0858,-0.0016,0.0216,high_score
2021-03-01,600039.SH,四川路桥,建筑工程,-0.7224,0.1158,1.0575,18.5070,0.6227,0.0588,0.1918,0.9761,0.9880,0.9880,0.0606,0.0039,0.0004,0.0002,0.5217,0.4251,1.4243,0.0898,0.0383,0.0239,high_score
2022-09-15,600060.SH,海信视像,家用电器,2.2911,0.9286,1.0232,18.5563,0.3874,-0.0568,0.0175,0.2262,0.3095,0.1071,-0.0577,-0.0020,-0.0013,0.0002,0.4708,0.4514,0.9059,-0.0511,0.0164,0.0825,missed
2021-07-28,600062.SH,华润双鹤,化学制药,-0.0608,0.2113,1.4208,17.5762,0.4694,-0.0606,-0.0354,0.0179,0.1151,0.0119,-0.1427,-0.0068,-0.0019,-0.0008,0.3944,0.4639,0.8911,0.0702,0.0589,0.0872,high_score
2021-08-24,600062.SH,华润双鹤,化学制药,0.5860,0.5091,1.9563,18.0617,0.4268,-0.0522,-0.0095,0.1548,0.3095,0.0079,-0.1357,0.0003,-0.0027,-0.0009,0.4861,0.4491,0.9785,0.0320,0.1065,0.0646,missed
2021-09-27,600062.SH,华润双鹤,化学制药,0.0114,0.2500,1.1155,18.1221,0.4444,-0.0200,0.0000,0.4107,0.5615,0.2321,-0.0457,0.0025,-0.0020,-0.0005,0.5333,0.4583,0.9975,-0.0159,0.1027,0.0342,high_score
2021-10-28,600062.SH,华润双鹤,化学制药,0.0860,0.3457,1.3796,17.5318,0.5568,0.0244,-0.0502,0.1329,0.2381,0.0119,0.0460,-0.0021,-0.0002,-0.0011,0.4389,0.4750,0.9021,-0.0145,0.0483,0.0201,high_score
